Education,Region,Age,Sex,Ethnicity,y2011,y2012,y2013,y2014,y2015
Degree,East Midlands,16 to 21,Female,Other,786,877.2580891,972.6651416,1033.495113,1037.43495
Degree,East Midlands,22 to 25,Male,White,643,679.7713765,737.4540665,782.1966592,850.4760102
Degree,East Midlands,22 to 25,Male,Mixed,695,790.2702974,872.9418484,891.9547632,957.1984924
Degree,East Midlands,22 to 25,Male,Asian,97,166.1901797,249.543218,275.0633325,298.8198935
Degree,East Midlands,22 to 25,Male,Black,809,865.9825204,937.6010769,989.820921,1058.106765
Degree,East Midlands,22 to 25,Male,Other,201,237.2235552,241.1956731,262.0042394,342.9311927
Degree,East Midlands,22 to 25,Female,White,113,207.7286798,214.3234901,274.8838304,350.6390972
Degree,East Midlands,22 to 25,Female,Mixed,237,263.6213421,274.1296621,366.1494696,460.3526387
Degree,East Midlands,22 to 25,Female,Asian,96,161.7347855,194.3523408,289.2377572,345.999908
Degree,East Midlands,22 to 25,Female,Black,253,282.2184614,380.7150489,468.6322661,492.4362912
Degree,East Midlands,22 to 25,Female,Other,369,380.3540357,465.1929124,549.9013006,563.5218537
Degree,East Midlands,26 to 29,Male,White,37,43.68632139,46.56262273,121.144209,189.4513364
Degree,East Midlands,26 to 29,Male,Mixed,776,781.1637593,791.0236511,805.7632486,868.1235699
Degree,East Midlands,26 to 29,Male,Asian,774,822.8720364,902.5279708,990.5211612,1073.117262
Degree,East Midlands,26 to 29,Male,Black,129,131.3058694,137.506715,226.2259529,319.4699846
Degree,East Midlands,26 to 29,Male,Other,84,170.8761387,243.3643425,294.5667099,360.005691
Degree,East Midlands,26 to 29,Female,White,467,504.3671746,586.7441576,587.5530512,632.8920614
Degree,East Midlands,26 to 29,Female,Mixed,346,353.7799476,427.746529,446.6291615,464.2059091
Degree,East Midlands,26 to 29,Female,Asian,756,853.4253955,896.4959222,914.8928003,979.4024712
Degree,East Midlands,26 to 29,Female,Black,611,670.5905747,691.2496987,698.8521879,765.207376
Degree,East Midlands,26 to 29,Female,Other,153,215.1336938,299.0631928,378.2369222,436.0556768
Degree,London,16 to 21,Male,White,338,434.3696989,529.6302198,624.371117,635.1590559
Degree,London,16 to 21,Male,Mixed,336,339.2192888,403.4670547,465.3443798,558.3582048
Degree,London,16 to 21,Male,Asian,926,974.6589959,1025.595895,1103.283049,1197.935954
Degree,London,16 to 21,Male,Black,438,511.2718599,537.3702817,583.3028163,584.8516777
Degree,London,16 to 21,Male,Other,82,136.1003407,205.781132,206.8421261,231.1060402
Degree,London,16 to 21,Female,White,660,675.8011154,771.8778968,790.1895945,825.5810081
Degree,London,16 to 21,Female,Mixed,369,461.6538359,559.4632833,635.8689893,723.8219525
Degree,London,16 to 21,Female,Asian,369,371.2545188,413.2126218,452.3533768,537.344678
Degree,London,16 to 21,Female,Black,517,521.9826292,583.9778469,614.1148072,656.1953395
Degree,London,16 to 21,Female,Other,804,832.4634777,859.7352966,880.3355671,962.2991115
Degree,London,22 to 25,Male,White,444,457.3929781,536.4260261,632.7828587,654.2530913
Degree,London,22 to 25,Male,Mixed,226,255.9610113,348.1640683,422.9080285,422.9859904
Degree,London,22 to 25,Male,Asian,816,821.0761414,851.5599799,876.9150265,972.8942369
Degree,London,22 to 25,Male,Black,368,451.9598865,506.8624314,596.3488057,666.7273781
Degree,London,22 to 25,Male,Other,833,859.9425668,936.0513264,1010.218439,1036.641236
Degree,London,22 to 25,Female,White,531,564.130772,649.0370896,723.7271498,779.0285325
Degree,London,22 to 25,Female,Mixed,28,125.8078715,174.2805735,180.9582973,251.8790054
Degree,London,22 to 25,Female,Asian,713,716.4468053,737.3618646,762.0668482,785.5734986
Degree,London,22 to 25,Female,Black,112,121.5845833,207.5718701,245.0914959,293.0595371
Degree,London,22 to 25,Female,Other,663,759.0713879,800.1855121,876.8508931,897.7819324
Degree,London,26 to 29,Male,White,643,718.993322,750.3750283,782.4383543,798.8776908
Degree,London,26 to 29,Male,Mixed,884,922.0313483,949.8865122,1039.682305,1078.745324
Degree,London,26 to 29,Male,Asian,824,834.1728893,884.1376804,978.2820483,1037.930724
Degree,London,26 to 29,Male,Black,758,820.9495935,914.4789977,973.063883,1013.106291
Degree,London,26 to 29,Male,Other,96,148.2255946,152.4562457,165.3296698,257.7217322
Degree,London,26 to 29,Female,White,632,684.9888011,711.93459,761.3049553,778.4069757
Degree,London,26 to 29,Female,Mixed,163,213.8228575,271.4375781,339.3007239,384.8263596
Degree,London,26 to 29,Female,Asian,99,152.3496215,195.3776714,233.7212116,266.377039
Degree,London,26 to 29,Female,Black,267,292.678884,390.3225518,458.4525434,461.3005826
Degree,London,26 to 29,Female,Other,353,391.3420728,398.925314,482.2046057,545.222027
Degree,North East,16 to 21,Male,White,378,462.8813473,519.3870078,531.8215911,589.149819
Degree,North East,16 to 21,Male,Mixed,776,790.1864545,873.5877564,949.9766571,1035.329959
Degree,North East,16 to 21,Male,Asian,170,251.1693618,256.1897614,275.5282956,363.037837
Degree,North East,16 to 21,Male,Black,458,467.2693951,523.641895,620.2733408,660.3657996
Degree,North East,16 to 21,Male,Other,382,465.5557269,510.9417143,519.2860218,607.1404625
Degree,North East,16 to 21,Female,White,528,551.0054432,561.9354661,577.2515051,612.2832478
Degree,North East,16 to 21,Female,Mixed,519,574.7288382,636.9884641,692.8157356,734.6845691
Degree,North East,16 to 21,Female,Asian,473,478.3132896,479.9724184,481.7205251,521.5359697
Degree,North East,16 to 21,Female,Black,650,732.2500297,759.9379657,858.2937933,865.9651204
Degree,North East,16 to 21,Female,Other,317,361.5451811,431.5534644,519.5095344,596.5301958
Degree,North East,22 to 25,Male,White,884,915.3519319,952.112651,1012.372989,1074.418708
Degree,North East,22 to 25,Male,Mixed,152,154.8052452,208.115285,280.781311,321.6665697
Degree,North East,22 to 25,Male,Asian,492,589.2092952,615.1489405,695.8408828,760.2192332
Degree,North East,22 to 25,Male,Black,778,872.1439539,920.7603076,932.8977122,945.1983599
Degree,North East,22 to 25,Male,Other,395,443.2975071,446.850849,461.3939121,526.4376233
Degree,North East,22 to 25,Female,White,31,79.94442543,85.63839768,145.0476805,221.1358606
Degree,North East,22 to 25,Female,Mixed,534,579.9641775,661.5430107,732.6850762,738.3825031
Degree,North East,22 to 25,Female,Asian,120,179.7337978,278.8136714,357.295547,443.1889599
Degree,North East,22 to 25,Female,Black,115,159.4561225,184.221304,253.7244495,335.3166534
Degree,North East,22 to 25,Female,Other,61,75.51173173,167.0275436,223.4327739,280.5686491
Degree,North East,26 to 29,Male,White,174,201.9750052,255.1648442,335.7190884,394.8252456
Degree,North East,26 to 29,Male,Mixed,78,110.8439641,179.031138,196.7432661,231.2685285
Degree,North East,26 to 29,Male,Asian,284,321.6195313,339.1600054,378.8845208,473.8950028
Degree,North East,26 to 29,Male,Black,963,971.0464073,1002.457804,1030.98592,1064.241305
Degree,North East,26 to 29,Male,Other,985,1067.95753,1127.652263,1215.235015,1279.746871
Degree,North East,26 to 29,Female,White,429,443.2302852,462.6054685,533.5396349,553.6499044
Degree,North East,26 to 29,Female,Mixed,19,77.04743691,86.29295185,172.4120595,238.2192924
Degree,North East,26 to 29,Female,Asian,143,209.8384848,267.3908235,288.1831934,355.9489165
Degree,North East,26 to 29,Female,Black,517,554.9897786,610.4099693,651.9112546,696.9820976
Degree,North East,26 to 29,Female,Other,447,501.0864562,576.1391461,608.643196,693.8550074
Degree,North West,16 to 21,Male,White,357,438.637742,465.8752696,539.5919527,562.1022491
Degree,North West,16 to 21,Male,Mixed,108,142.0421493,156.7816524,228.3517342,233.8852885
Degree,North West,16 to 21,Male,Asian,170,178.9174278,202.1904366,289.622372,357.7345919
Degree,North West,16 to 21,Male,Black,317,375.7191032,443.9667637,519.0251752,537.1962174
Degree,North West,16 to 21,Male,Other,219,292.3693159,321.5825228,342.8645852,405.3583548
Degree,North West,16 to 21,Female,White,678,759.4029433,837.2184866,865.5398988,892.7384097
Degree,North West,16 to 21,Female,Mixed,973,1044.693401,1069.298712,1154.403404,1176.560094
Degree,North West,16 to 21,Female,Asian,514,522.5664665,564.9234036,602.883127,669.4864265
Degree,North West,16 to 21,Female,Black,305,329.1162196,419.4709268,473.7370271,479.1678699
Degree,North West,16 to 21,Female,Other,132,195.7220083,266.5143023,361.2050768,380.2907961
Degree,North West,22 to 25,Male,White,758,799.8879812,886.3731805,934.4921679,961.0811638
Degree,North West,22 to 25,Male,Mixed,473,505.4728715,591.4213023,668.652058,720.6168325
Degree,North West,22 to 25,Male,Asian,456,553.8818798,634.65436,658.9753304,732.2390807
Degree,North West,22 to 25,Male,Black,118,154.5949041,215.9751496,296.1180856,394.9739559
Degree,North West,22 to 25,Male,Other,835,889.0715998,934.2806505,968.3536015,1050.51721
Degree,North West,22 to 25,Female,White,491,496.0179503,593.9828358,690.3834559,697.9010417
Degree,North West,22 to 25,Female,Mixed,568,621.795255,639.3323815,735.9692477,741.9067423
Degree,North West,22 to 25,Female,Asian,699,727.8662938,731.4838809,787.5387644,803.0325427
Degree,North West,22 to 25,Female,Black,347,440.0955994,460.1377228,524.5553814,618.2614517
Degree,North West,22 to 25,Female,Other,555,644.188932,736.7610417,775.2942056,791.5169175
Degree,North West,26 to 29,Male,White,871,962.1713318,1041.104255,1060.714927,1103.610388
Degree,North West,26 to 29,Male,Mixed,354,446.5000917,497.8402438,576.0814737,669.4213442
Degree,North West,26 to 29,Male,Asian,547,557.8084477,566.8487369,655.9518212,670.4469529
Degree,North West,26 to 29,Male,Black,478,568.6060835,578.9524747,583.0469646,661.4835095
Degree,North West,26 to 29,Male,Other,149,240.7403999,337.8942654,379.3994614,420.7800776
Degree,North West,26 to 29,Female,White,372,388.6871291,464.6261847,465.2387505,532.2606782
Degree,North West,26 to 29,Female,Mixed,470,482.1955158,536.6205722,630.4070566,638.985033
Degree,North West,26 to 29,Female,Asian,563,645.9016231,663.4556837,671.3778651,726.3597574
Degree,North West,26 to 29,Female,Black,67,70.88783118,95.00719077,124.9786052,202.7747918
Degree,North West,26 to 29,Female,Other,614,644.6658654,726.1988231,763.1908435,789.5556726
Degree,South East,16 to 21,Male,White,563,653.0607493,674.8374688,675.714258,759.4726824
Degree,South East,16 to 21,Male,Mixed,89,107.5693052,205.4976588,299.9338004,314.7964353
Degree,South East,16 to 21,Male,Asian,958,1053.563305,1132.063538,1133.996507,1212.183043
Degree,South East,16 to 21,Male,Black,233,252.4345476,276.7641295,371.1211905,373.6888337
Degree,South East,16 to 21,Male,Other,443,513.1697459,570.8016317,628.8307779,704.169895
Degree,South East,16 to 21,Female,White,580,645.6913795,665.1964715,727.8910425,774.048426
Degree,South East,16 to 21,Female,Mixed,127,221.8933213,248.8598601,346.8761532,441.589107
Degree,South East,16 to 21,Female,Asian,409,470.5939579,511.2929977,562.9894061,648.130645
Degree,South East,16 to 21,Female,Black,419,462.2264958,470.8890318,526.9143226,544.1032811
Degree,South East,16 to 21,Female,Other,521,595.0163251,644.588529,720.828417,804.9201982
Degree,South East,22 to 25,Male,White,915,966.2429292,1055.583419,1149.363495,1192.774109
Degree,South East,22 to 25,Male,Mixed,686,752.8327325,783.8399531,880.6500814,903.4392203
Degree,South East,22 to 25,Male,Asian,375,407.0479077,497.9117317,502.1397926,597.9461428
Degree,South East,22 to 25,Male,Black,477,521.6729396,573.4839145,621.4571526,686.1226395
Degree,South East,22 to 25,Male,Other,714,769.0529398,848.4349813,912.2046784,946.7330697
Degree,South East,22 to 25,Female,White,720,768.1060233,833.8962415,862.6994757,929.7608864
Degree,South East,22 to 25,Female,Mixed,811,864.1721387,899.1530306,939.9872603,967.950382
Degree,South East,22 to 25,Female,Asian,938,999.7689715,1006.032597,1013.472372,1105.64942
Degree,South East,22 to 25,Female,Black,378,406.3096325,424.6998482,426.0340084,519.0390144
Degree,South East,22 to 25,Female,Other,945,999.0355013,1004.409215,1027.632337,1096.707949
Degree,South East,26 to 29,Male,White,625,638.0326817,711.4176868,761.4587202,790.9313435
Degree,South East,26 to 29,Male,Mixed,387,400.9984765,464.8795928,538.1022307,631.185943
Degree,South East,26 to 29,Male,Asian,26,30.54077937,33.50144776,131.1365869,226.2694848
Degree,South East,26 to 29,Male,Black,855,935.3644421,939.2167343,1004.798877,1013.790361
Degree,South East,26 to 29,Male,Other,468,555.7733942,613.5812541,646.0712373,724.2972501
Degree,South East,26 to 29,Female,White,487,489.529265,579.7487731,584.6835345,633.9603419
Degree,South East,26 to 29,Female,Mixed,216,311.6448277,355.8845736,399.4249566,403.5907099
Degree,South East,26 to 29,Female,Asian,994,1073.25664,1125.449165,1126.775434,1172.59596
Degree,South East,26 to 29,Female,Black,300,367.953938,412.6966084,499.2776975,510.9158353
Degree,South East,26 to 29,Female,Other,824,923.8624421,973.7945708,1051.009363,1100.474596
Degree,South West,16 to 21,Male,White,385,410.7991227,472.3302365,565.1270351,583.9814696
Degree,South West,16 to 21,Male,Mixed,679,704.0654849,747.9078499,771.6501795,804.8497577
Degree,South West,16 to 21,Male,Asian,19,19.46288377,95.80795548,166.8572445,180.7121081
Degree,South West,16 to 21,Male,Black,81,163.7801119,244.1530517,258.7812999,286.9100921
Degree,South West,16 to 21,Male,Other,913,992.8671922,1081.628776,1174.078336,1255.833125
Degree,South West,16 to 21,Female,White,741,775.3190882,819.831923,843.571297,854.5897031
Degree,South West,16 to 21,Female,Mixed,437,508.2881641,542.8938013,576.7989442,641.857916
Degree,South West,16 to 21,Female,Asian,35,53.32873837,58.39671776,103.4501825,174.1778308
Degree,South West,16 to 21,Female,Black,753,822.6687456,874.9264812,902.9370005,990.8012684
Degree,South West,16 to 21,Female,Other,547,615.2085438,671.1511527,700.4837914,749.7710071
Degree,South West,22 to 25,Male,White,988,1042.178078,1070.180063,1095.399318,1138.253419
Degree,South West,22 to 25,Male,Mixed,457,498.3777272,499.7337342,589.8219619,639.8981725
Degree,South West,22 to 25,Male,Asian,147,161.9975494,253.0664449,281.2682731,325.8406426
Degree,South West,22 to 25,Male,Black,333,361.5014609,398.2521016,468.0390503,540.9373848
Degree,South West,22 to 25,Male,Other,71,146.6981037,195.5221495,249.9064429,277.6026109
Degree,South West,22 to 25,Female,White,84,108.1610081,111.4100273,162.7290423,261.445567
Degree,South West,22 to 25,Female,Mixed,406,464.1091947,471.8778626,558.6689483,585.8306037
Degree,South West,22 to 25,Female,Asian,927,995.8206123,1085.313639,1135.990812,1177.689779
Degree,South West,22 to 25,Female,Black,572,642.2637119,722.3700218,746.5111016,827.433488
Degree,South West,22 to 25,Female,Other,185,257.3750021,334.0566325,351.159197,416.0484465
Degree,South West,26 to 29,Male,White,477,516.7774081,571.633252,620.2769934,621.1201552
Degree,South West,26 to 29,Male,Mixed,902,968.1094862,1029.082519,1117.062193,1205.919999
Degree,South West,26 to 29,Male,Asian,843,844.6651831,930.723936,1014.753375,1111.748431
Degree,South West,26 to 29,Male,Black,34,80.99109076,148.6151416,175.891644,268.6027745
Degree,South West,26 to 29,Male,Other,573,662.7861317,707.4580436,753.0544918,822.1298942
Degree,South West,26 to 29,Female,White,488,559.7074292,590.5508475,591.771583,630.855455
Degree,South West,26 to 29,Female,Mixed,257,349.3856159,350.4552179,380.571505,450.6470592
Degree,South West,26 to 29,Female,Asian,900,999.2399083,1097.492261,1105.182154,1140.197867
Degree,South West,26 to 29,Female,Black,793,870.2851526,927.3170443,934.6471353,950.515604
Degree,South West,26 to 29,Female,Other,684,757.1043919,783.2941752,850.2373625,855.6733272
Degree,Wales,16 to 21,Male,White,336,434.552925,462.6854077,560.1899619,651.7325197
Degree,Wales,16 to 21,Male,Mixed,483,553.892118,611.1581613,626.0859747,626.8435415
Degree,Wales,16 to 21,Male,Asian,880,928.5677843,978.9552905,1035.379702,1129.820248
Degree,Wales,16 to 21,Male,Black,359,407.8618121,458.4650702,490.1266204,536.3651221
Degree,Wales,16 to 21,Male,Other,982,1053.594772,1128.001215,1164.719193,1166.241175
Degree,Wales,16 to 21,Female,White,695,705.2307786,791.8233173,807.8119099,883.107103
Degree,Wales,16 to 21,Female,Mixed,704,778.3940517,843.6787595,908.0674235,999.532166
Degree,Wales,16 to 21,Female,Asian,945,964.9679329,1063.520318,1156.417623,1242.284455
Degree,Wales,16 to 21,Female,Black,170,214.2326255,242.3856076,258.8154601,323.9934646
Degree,Wales,16 to 21,Female,Other,560,645.6684365,723.2913347,750.8221217,795.7448672
Degree,Wales,22 to 25,Male,White,432,498.5070106,542.6238146,568.1177282,655.2141293
Degree,Wales,22 to 25,Male,Mixed,221,312.4185541,339.1071861,349.7645072,377.1891009
Degree,Wales,22 to 25,Male,Asian,291,317.9832582,343.0329108,352.4560571,442.8139264
Degree,Wales,22 to 25,Male,Black,424,475.9336844,513.3855731,546.4710327,625.3968666
Degree,Wales,22 to 25,Male,Other,920,955.5720913,972.6317233,980.9772147,1078.820283
Degree,Wales,22 to 25,Female,White,693,725.3290288,808.8061709,854.3612455,920.2909318
Degree,Wales,22 to 25,Female,Mixed,477,502.2725066,571.4973146,580.7722133,632.9837819
Degree,Wales,22 to 25,Female,Asian,923,962.3773559,1059.532943,1061.620598,1067.890466
Degree,Wales,22 to 25,Female,Black,650,714.363086,781.36526,838.2267358,935.5782855
Degree,Wales,22 to 25,Female,Other,995,1075.199832,1101.397534,1196.153742,1242.094262
Degree,Wales,26 to 29,Male,White,466,496.9164098,550.6917438,641.4703321,689.5632903
Degree,Wales,26 to 29,Male,Mixed,971,1035.749674,1095.59451,1160.826131,1257.589181
Degree,Wales,26 to 29,Male,Asian,44,125.7260598,189.7110645,209.4705235,248.0786118
Degree,Wales,26 to 29,Male,Black,711,725.109696,818.4263768,889.2489919,931.1215132
Degree,Wales,26 to 29,Male,Other,41,47.38126579,113.7235706,146.8436057,226.7733671
Degree,Wales,26 to 29,Female,White,634,702.7986378,718.1575003,723.2704646,725.9933582
Degree,Wales,26 to 29,Female,Mixed,461,490.8104513,536.8584598,617.8042927,677.4806968
Degree,Wales,26 to 29,Female,Asian,964,1005.39031,1046.869301,1126.091431,1148.956313
Degree,Wales,26 to 29,Female,Black,58,142.3452268,176.1682744,182.2709718,186.9032676
Degree,Wales,26 to 29,Female,Other,53,102.7166832,109.0314538,196.8904277,283.1248165
Degree,West Midlands,16 to 21,Male,White,887,962.747844,1014.72546,1067.600184,1166.155906
Degree,West Midlands,16 to 21,Male,Mixed,683,747.4511828,768.0034563,794.1853943,888.1412297
Degree,West Midlands,16 to 21,Male,Asian,319,401.3873604,441.8780171,483.2491866,576.3054109
Degree,West Midlands,16 to 21,Male,Black,533,615.1762639,690.0659177,751.1824104,814.4594045
Degree,West Midlands,16 to 21,Male,Other,493,592.2265315,653.981922,669.8987325,672.736015
Degree,West Midlands,16 to 21,Female,White,636,732.7249502,766.6954222,851.1808301,860.7483243
Degree,West Midlands,16 to 21,Female,Mixed,137,161.6482875,261.4940834,356.0204731,390.4884441
Degree,West Midlands,16 to 21,Female,Asian,781,824.5148737,897.8222063,906.2298822,945.3969284
Degree,West Midlands,16 to 21,Female,Black,562,633.794363,637.1409373,681.8587229,688.6603275
Degree,West Midlands,16 to 21,Female,Other,215,270.6052946,352.7747445,438.0174923,461.2851955
Degree,West Midlands,22 to 25,Male,White,468,479.4184087,508.0451287,566.0469453,639.7602893
Degree,West Midlands,22 to 25,Male,Mixed,964,1052.802003,1098.945555,1113.065246,1199.142678
Degree,West Midlands,22 to 25,Male,Asian,1,18.01238421,110.3635569,198.7961908,213.266012
Degree,West Midlands,22 to 25,Male,Black,943,1007.870665,1031.713907,1125.568045,1182.342774
Degree,West Midlands,22 to 25,Male,Other,998,1094.977667,1137.449077,1162.405799,1199.44374
Degree,West Midlands,22 to 25,Female,White,422,429.4974855,484.0914992,485.1996617,560.194248
Degree,West Midlands,22 to 25,Female,Mixed,684,722.8604829,822.3389971,919.0262317,941.5042191
Degree,West Midlands,22 to 25,Female,Asian,309,383.07362,400.2793675,400.3566584,486.510993
Degree,West Midlands,22 to 25,Female,Black,795,851.5663076,945.6884069,975.8616448,1046.762473
Degree,West Midlands,22 to 25,Female,Other,497,542.0127773,548.2420661,554.9477597,590.7603102
Degree,West Midlands,26 to 29,Male,White,625,713.3636342,755.0263012,822.889754,917.3910605
Degree,West Midlands,26 to 29,Male,Mixed,792,815.4011466,894.9910343,907.6206835,918.6923189
Degree,West Midlands,26 to 29,Male,Asian,551,634.6513804,676.9237692,759.2252035,762.49132
Degree,West Midlands,26 to 29,Male,Black,746,802.1722174,859.5088296,931.8877089,987.961494
Degree,West Midlands,26 to 29,Male,Other,298,395.6539914,428.2190789,455.0639874,535.3617104
Degree,West Midlands,26 to 29,Female,White,71,95.81957485,160.4341736,185.018302,243.2069002
Degree,West Midlands,26 to 29,Female,Mixed,996,1070.076473,1110.975394,1203.338582,1284.248118
Degree,West Midlands,26 to 29,Female,Asian,997,998.1475074,1049.039083,1084.462917,1170.804411
Degree,West Midlands,26 to 29,Female,Black,859,939.0969046,1011.857026,1070.575181,1078.32055
Degree,West Midlands,26 to 29,Female,Other,743,821.9309282,919.6718424,988.076247,1030.954589
Degree,Yorkshire and The Humber,16 to 21,Male,White,725,808.239224,899.5450484,925.3323716,949.5382039
Degree,Yorkshire and The Humber,16 to 21,Male,Mixed,261,298.1848943,343.1211738,420.8143855,453.8300531
Degree,Yorkshire and The Humber,16 to 21,Male,Asian,571,637.4869481,729.4553405,823.4156814,845.9542273
Degree,Yorkshire and The Humber,16 to 21,Male,Black,42,85.33148742,159.1017835,191.1417795,265.6735723
Degree,Yorkshire and The Humber,16 to 21,Male,Other,83,181.3524659,227.7962067,265.0119545,362.0709555
Degree,Yorkshire and The Humber,16 to 21,Female,White,605,699.4095711,746.3068386,801.0714586,893.3069586
Degree,Yorkshire and The Humber,16 to 21,Female,Mixed,351,404.0199185,441.5620624,538.0946081,549.4464871
Degree,Yorkshire and The Humber,16 to 21,Female,Asian,594,645.2520459,718.4644593,762.9759192,820.7345934
Degree,Yorkshire and The Humber,16 to 21,Female,Black,969,973.6566232,1071.608308,1142.344123,1180.787605
Degree,Yorkshire and The Humber,16 to 21,Female,Other,905,924.5237427,991.4987807,1029.163824,1067.062913
Degree,Yorkshire and The Humber,22 to 25,Male,White,713,719.2639475,795.9046028,846.0308812,857.9673744
Degree,Yorkshire and The Humber,22 to 25,Male,Mixed,506,568.7948722,639.1358018,691.0777577,754.8366216
Degree,Yorkshire and The Humber,22 to 25,Male,Asian,973,1056.777674,1088.766229,1163.357256,1176.049691
Degree,Yorkshire and The Humber,22 to 25,Male,Black,634,639.38284,678.2486234,771.9775631,813.8451137
Degree,Yorkshire and The Humber,22 to 25,Male,Other,800,822.6094557,838.3489955,868.7152588,957.7748347
Degree,Yorkshire and The Humber,22 to 25,Female,White,38,107.9779157,110.0755851,135.0288465,227.4460477
Degree,Yorkshire and The Humber,22 to 25,Female,Mixed,633,716.9590692,790.1369031,873.7211329,938.8696868
Degree,Yorkshire and The Humber,22 to 25,Female,Asian,688,750.1887894,776.493732,780.1182553,812.3602509
Degree,Yorkshire and The Humber,22 to 25,Female,Black,428,468.2596418,557.5534379,605.9905479,622.1960734
Degree,Yorkshire and The Humber,22 to 25,Female,Other,779,820.8667462,895.6772246,947.350117,971.6232289
Degree,Yorkshire and The Humber,26 to 29,Male,White,136,233.2843353,304.5668475,377.974387,456.5228645
Degree,Yorkshire and The Humber,26 to 29,Male,Mixed,37,47.45813221,67.12302209,162.5067486,261.9007359
Degree,Yorkshire and The Humber,26 to 29,Male,Asian,303,383.1991172,476.4652521,482.4706693,485.2796535
Degree,Yorkshire and The Humber,26 to 29,Male,Black,462,468.4612756,470.4368529,518.5352113,573.7070137
Degree,Yorkshire and The Humber,26 to 29,Male,Other,670,735.9194058,758.8864497,815.0846587,839.2566504
Degree,Yorkshire and The Humber,26 to 29,Female,White,846,880.4044492,966.5005399,1048.182048,1059.811485
Degree,Yorkshire and The Humber,26 to 29,Female,Mixed,293,298.5800316,371.1423521,406.1583021,417.0584636
Degree,Yorkshire and The Humber,26 to 29,Female,Asian,987,1017.221401,1080.384759,1107.261184,1156.450974
Degree,Yorkshire and The Humber,26 to 29,Female,Black,563,571.1574437,657.4343526,692.0767002,743.732188
